name,type,website_url,careers_url,location,size,industry,interest_match,description
SURF Netherlands,company,https://www.surf.nl/en,https://werkenbij.surf.nl/en/,"Utrecht, Netherlands",large,Information Technology,,"SURF is the IT cooperative for education and research in the Netherlands, where more than 100 institutions collaborate to fully utilize the opportunities of digitalization, aiming to improve and make education and research more flexible."
Eindhoven University of Technology,university,https://www.tue.nl/en/,https://www.tue.nl/en/working-at-tue/vacancy-overview,"Eindhoven, Netherlands",large,Higher Education,,"Eindhoven University of Technology (TU/e) is a leading research university specializing in engineering science and technology, aiming to create significant societal impact through innovation."
University of Amsterdam,university,https://www.uva.nl/en,https://werkenbij.uva.nl/en/vacancies,"Amsterdam, Netherlands",large,Education,,"The University of Amsterdam (UvA) is one of Europe's leading research universities, with a diverse range of academic programs and a commitment to impactful research."
Delft University of Technology,university,https://www.tudelft.nl/en/,https://www.tudelft.nl/en/education/careers/,"Delft, Netherlands",large,Higher Education,,"Delft University of Technology, the oldest and largest technical university in the Netherlands, focuses on engineering and technology, aiming for societal impact through education and research."
Utrecht University,university,https://www.uu.nl/en,https://www.uu.nl/en/masters,"Utrecht, Netherlands",large,Higher Education,,Utrecht University offers inspiring education and leading research of international quality. Researchers and students are working together towards a better future.
Leiden University,university,https://www.universiteitleiden.nl/en,https://www.universiteitleiden.nl/en/education/admission-and-application,"Leiden, Netherlands",large,Higher Education,,"Leiden University, founded in 1575, is one of Europeâ€™s leading international research universities with seven faculties in the arts, sciences, and social sciences, across locations in Leiden and The Hague. The University employs over 6,500 staff members and serves approximately 26,900 students."
Vrije Universiteit Amsterdam,university,https://vu.nl/nl,https://werkenbij.vu.nl/,"Amsterdam, Netherlands",large,Higher Education,,"Vrije Universiteit Amsterdam is a public research university that emphasizes connection and inclusivity while providing a broad range of educational programs, engaging in socially relevant research across diverse fields."
Centrum Wiskunde & Informatica,research_institute,https://www.cwi.nl/,https://www.cwi.nl/en/jobs/vacancies/,"Amsterdam, Netherlands",medium,Mathematics and Computer Science,,"Centrum Wiskunde & Informatica (CWI) is the national research institute for mathematics and computer science in the Netherlands. CWI conducts pioneering research in these fields and transfers new knowledge to society and business, focusing on four fundamental research areas: algorithms, data and intelligent systems, cryptography and security, and quantum computing."
Netherlands eScience Center,research_institute,https://www.esciencecenter.nl/,https://www.esciencecenter.nl/vacancies/,"Amsterdam, Netherlands",medium,Research Software Development,matched research software development interest,"The Netherlands eScience Center is the national center for the development and application of research software. Our software and tools enhance the use of digital methods in academic research, empowering researchers across all disciplines."
TNO,research_institute,https://www.tno.nl/en/about-tno/,https://www.tno.nl/en/careers/,"The Hague, Netherlands",large,Research and Development,,"TNO is an independent, not-for-profit research organisation that connects people and knowledge to create innovations for a healthy, safe, and sustainable life."
Research Institute of Information and Computing Sciences,research_institute,https://www.uu.nl/en/research/institute-of-information-and-computing-sciences,https://www.uu.nl/en/research/institute-of-information-and-computing-sciences,"Utrecht, Netherlands",medium,Information Technology and Computer Science,,"The Research Institute of Information and Computing Sciences at Utrecht University focuses on novel and feasible advancements in information and computing sciences, addressing fundamental challenges and applications in a digitally interconnected world."
QuantWare,company,https://www.quantware.com/,https://www.quantware.com/careers,"Delft, Netherlands",medium,Quantum Computing,,"QuantWare specializes in designing, developing, and fabricating advanced superconducting quantum hardware, offering high-performance quantum computing solutions with exceptional specifications and dedicated support."
Fermioniq,startup,https://www.fermioniq.com/,https://www.fermioniq.com/contact,"Amsterdam, Netherlands",small,Quantum Computing,,Fermioniq develops scalable cloud-based quantum emulators for accelerating quantum software and hardware development.
Scientific Computing - Eindhoven University of Technology,research_institute,https://www.tue.nl/en/research/research-groups/mathematics/center-for-analysis-scientific-computing-and-applications/scientific-computing-1,https://www.tue.nl/en/careers,"Eindhoven, Netherlands",large,Computational Science and Engineering,,"Scientific Computing at Eindhoven University of Technology enables the simulation of phenomena, processes, and systems that cannot be studied by real experiments. It facilitates automatic design and optimization through advanced computational methods, making significant contributions to various disciplines in science and engineering."
Computational Science - Informatics Institute,research_institute,https://ivi.uva.nl/research/research-themes/computational-science.html,https://ivi.uva.nl/research/research-themes/computational-science.html#,"Amsterdam, Netherlands",medium,Computational Science,,"The Computational Science research theme focuses on advanced computing capabilities to understand and solve complex problems by developing theory, building computational models, and performing data-driven simulations."
